path,bytes,sha256,read_for
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/PERSONAS/MADDI.md,1503,9a293b76a743772e7eee2067412e34dcfffa382c6ef3ce8d43e48ef963bb5459,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/PERSONAS/OMA.md,1357,81320f44ce42912eb4f74d7df2205a38ea50f61a5ac14a977413f85102d3f677,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/PERSONAS/SAM.md,1131,efa96f1bb5c4a66f2ca8e4f20c45fee5add36f0094bb95fa766a917709f12b8e,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/PERSONAS/KAYLA.md,1392,9bed9dc4958f13d3613ef6a1635284a6ee3603bcd4c423d562bb076eeabae0d5,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/PERSONAS/BURTHA.md,1542,34e0b88ebb5f901a305d6996d33a81469f99dce016aac8db732c13f84967984c,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/PERSONAS/HANNA.md,1337,940d7f9012e5674b493023770d28253711285238c8a5d2000c757e77ee44fb4e,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/AGENT-MEMORY/MADDI.md,894,bdb281060b8eeba17a441151a1fb5615f043837c28e9e588697738a2e8399701,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/AGENT-MEMORY/OMA.md,1038,7cf7e04568cc173cf6371f62b701c1b2b5ecd26d8322e089a1d4f3adca6d2d79,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/AGENT-MEMORY/SAM.md,2294,d17ece57ab9e839624fa9c511f73a5342b4c120a7d94008e9b5fa7efa3393745,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/AGENT-MEMORY/KAYLA.md,722,65479cae195412c77660b1962dd73f41e47015c205355929c83afea940f71ce8,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/AGENT-MEMORY/BURTHA.md,1208,1e819193520b6e9381d7712ddbfd45fc26b7ede7fe20ceb8f598488b2b9f65c0,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/AGENT-MEMORY/HANNA.md,1526,f80b656718a3d60670c990c386684986d6834340c6b7ffca989b8e6168019375,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/02-personas-grok-fleet/MADDI.md,1503,9a293b76a743772e7eee2067412e34dcfffa382c6ef3ce8d43e48ef963bb5459,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/02-personas-grok-fleet/OMA.md,1357,81320f44ce42912eb4f74d7df2205a38ea50f61a5ac14a977413f85102d3f677,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/02-personas-grok-fleet/SAM.md,1131,efa96f1bb5c4a66f2ca8e4f20c45fee5add36f0094bb95fa766a917709f12b8e,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/02-personas-grok-fleet/KAYLA.md,1392,9bed9dc4958f13d3613ef6a1635284a6ee3603bcd4c423d562bb076eeabae0d5,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/02-personas-grok-fleet/BURTHA.md,1542,34e0b88ebb5f901a305d6996d33a81469f99dce016aac8db732c13f84967984c,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/02-personas-grok-fleet/HANNA.md,1337,940d7f9012e5674b493023770d28253711285238c8a5d2000c757e77ee44fb4e,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/04-agent-memory-grok/MADDI.md,386,d0f9640047a9d1c10137672f1dbb4d7fe10e86fd04fa72ffec3d99eba2f908bc,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/04-agent-memory-grok/KAYLA.md,722,65479cae195412c77660b1962dd73f41e47015c205355929c83afea940f71ce8,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/04-agent-memory-grok/HANNA.md,468,a642484776276e49a0d46f1aecba12a048404e6e876839aff926ab1d94e66539,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/03-personas-shared-desk/MADDI.md,1503,9a293b76a743772e7eee2067412e34dcfffa382c6ef3ce8d43e48ef963bb5459,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/03-personas-shared-desk/OMA.md,1357,81320f44ce42912eb4f74d7df2205a38ea50f61a5ac14a977413f85102d3f677,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/03-personas-shared-desk/SAM.md,1131,efa96f1bb5c4a66f2ca8e4f20c45fee5add36f0094bb95fa766a917709f12b8e,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/03-personas-shared-desk/KAYLA.md,1392,9bed9dc4958f13d3613ef6a1635284a6ee3603bcd4c423d562bb076eeabae0d5,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/03-personas-shared-desk/BURTHA.md,1542,34e0b88ebb5f901a305d6996d33a81469f99dce016aac8db732c13f84967984c,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/03-personas-shared-desk/HANNA.md,1337,940d7f9012e5674b493023770d28253711285238c8a5d2000c757e77ee44fb4e,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/05-agent-memory-shared/MADDI.md,894,bdb281060b8eeba17a441151a1fb5615f043837c28e9e588697738a2e8399701,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/05-agent-memory-shared/OMA.md,1038,7cf7e04568cc173cf6371f62b701c1b2b5ecd26d8322e089a1d4f3adca6d2d79,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/05-agent-memory-shared/SAM.md,2294,d17ece57ab9e839624fa9c511f73a5342b4c120a7d94008e9b5fa7efa3393745,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/05-agent-memory-shared/KAYLA.md,722,65479cae195412c77660b1962dd73f41e47015c205355929c83afea940f71ce8,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/05-agent-memory-shared/BURTHA.md,1208,1e819193520b6e9381d7712ddbfd45fc26b7ede7fe20ceb8f598488b2b9f65c0,role/source reconciliation
/Users/craigstratton/PROSPER-HANNA-SAM-SHARED/ACTIVE/20260923-fleet-definitive-pack/tree/05-agent-memory-shared/HANNA.md,1526,f80b656718a3d60670c990c386684986d6834340c6b7ffca989b8e6168019375,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/T9-MIRROR-STAGING/.ai/souls/OMA.md,994,cd59590a9e5bf6eebf9601c18f2e51a8d0c865bff4697a193335a8f7f2304d61,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/T9-MIRROR-STAGING/.ai/souls/SAM.md,6089,afe0514f608c6bf50c916d1f195a930e86b25d5f1a410fddf6da0273ff2143a0,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/T9-MIRROR-STAGING/.ai/souls/BURTHA.md,5871,b244645e2b9946284a16b9f12386fbb2364ad0baff194c2d9a8732e37eb68d3c,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/T9-MIRROR-STAGING/.ai/souls/HANNA.md,15938,7583f9b9748f2a3179dec53ad91905dcf7ba5459f604d7cd9e32c05d2d213474,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/T9-MIRROR-STAGING/.ai/souls/MADDISON.md,10369,c7cba935bee5b99dd9b9dbc738503e9e08fadbd9fd91e78ccd06d15c8fbd76d8,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/KAYLA_DAY_ONE_REBOOT_2026-05-16.md,1186,45a535f2a31643deb181f76407b83e22391ad766db8817d2152aee5de5b96ddc,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/OMA.md,3467,cb0fc5a00b08d454f968679eeb4033dacbe731f125c071aac5ea824e853a7a1d,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/SAM_DAY_ONE_REBOOT_2026-05-16.md,1099,5aef4fd4a3217f2ea872b1418427d91a9595e8f3b5e0e8893707c9e46f3b40bb,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/OMA_DAY_ONE_REBOOT_2026-05-16.md,1099,6322fcd2618c88e38176d51007f0f30bb84f08443cd21d7700f07cd598a88bf1,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/BURTHA_DAY_ONE_REBOOT_2026-05-16.md,1077,6471b9dd828a6f7c7f8e6b71bc8639377f08bba2e1d0181419224c82a767f384,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/HANNA_DAY_ONE_REBOOT_2026-05-16.md,1178,eebabf9e9147238a619f7b65211ab8670a7e8602da82ab3b95fc3299d8d158b0,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/BURTHA.md,3604,c4c034e131671e7475ba0101f87ea07648ca2748d586dbc7bffba22d9233e57f,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/MADDI_DAY_ONE_REBOOT_2026-05-16.md,3795,a7fcae34c86c85a29bed8519b1e35285b8335960267e6abbea989cd5b87a146e,role/source reconciliation
/Users/craigstratton/ClaudeCodexBridge/SOULS/HANNA.md,5106,341c7ca04f041fdf5c6cfc24d121d78c866781af703f702e964681419d06c86c,role/source reconciliation
